un;a
caméra;camera
camp;camp
campagne;campaign
campus;campus
pouvoir;can
Canadien;Canadian
cancer;cancer
candidat;candidate
tte;cap
capacité;capability
capable;capable
capacité;capacity
capital;capital
capitaine;captain
capturer;capture
voiture;car
carbone;carbon
carte;card
soin;care
carrire;career
prudent;careful
soigneusement;carefully
transporteur;carrier
porter;carry
cas;case
argent;cash
jeter;cast
chat;cat
catch;catch
catégorie;category
Catholique;Catholic
cause;cause
plafond;ceiling
célébrer;celebrate
fte;celebration
célébrité;celebrity
cellule;cell
centre;center
central;central
sicle;century
PDG;CEO
cérémonie;ceremony
certain;certain
certainement;certainly
chaîne;chain
chaise;chair
président;chairman
défi;challenge
chambre;chamber
champion;champion
championnat;championship
hasard;chance
changement;change
changeant;changing
canal;channel
chapitre;chapter
personnage;character
caractéristique;characteristic
caractériser;characterize
charger;charge
charité;charity
graphique;chart
chasser;chase
bon marché;cheap
vérifier;check
joue;cheek
fromage;cheese
chef;chef
chimique;chemical
poitrine;chest
poulet;chicken
chef;chief
enfant;child
enfance;childhood
Chinois;Chinese
puce;chip
chocolat;chocolate
choix;choice
cholestérol;cholesterol
choisir;choose
Chrétien;Christian
No‘l;Christmas
église;church
cigarette;cigarette
cercle;circle
circonstance;circumstance
citer;cite
citoyen;citizen
ville;city
civil;civil
civil;civilian
revendication;claim
classe;class
classique;classic
salle de classe;classroom
propre;clean
clair;clear
clairement;clearly
client;client
climat;climate
grimper;climb
clinique;clinic
clinique;clinical
horloge;clock
fermer;close
étroitement;closely
Rapproche;closer
vtement;clothes
vtement;clothing
nuage;cloud
club;club
indice;clue
Grappe;cluster
entraîneur;coach
charbon;coal
coalition;coalition
côte;coast
manteau;coat
code;code
café;coffee
cognitif;cognitive
froid;cold
effondrement;collapse
collgue;colleague
recueillir;collect
collection;collection
collectif;collective
université;college
colonial;colonial
Couleur;color
colonne;column
combinaison;combination
combiner;combine
Quoi;come
comédie;comedy
confort;comfort
confortable;comfortable
commander;command
commandant;commander
commentaire;comment
commercial;commercial
commission;commission
commettre;commit
engagement;commitment
comité;committee
commun;common
communiquer;communicate
communication;communication
communauté;community
compagnie;company
comparer;compare
comparaison;comparison
rivaliser;compete
compétition;competition
compétitif;competitive
concurrent;competitor
se plaindre;complain
plainte;complaint
complet;complete
compltement;completely
complexe;complex
compliqué;complicated
composant;component
compose;compose
composition;composition
complet;comprehensive
ordinateur;computer
concentrer;concentrate
concentration;concentration
concept;concept
concerner;concern
inquiet;concerned
concert;concert
Conclut;conclude
conclusion;conclusion
béton;concrete
condition;condition
conduite;conduct
conférence;conference
confiance;confidence
confiant;confident
confirmer;confirm
conflit;conflict
confronter;confront
confusion;confusion
Congrs;Congress
Congrs;congressional
relier;connect
connexion;connection
conscience;consciousness
consensus;consensus
conséquence;consequence
conservateur;conservative
considérer;consider
considérable;considerable
considération;consideration
consister;consist
cohérent;consistent
constant;constant
constamment;constantly
constituer;constitute
constitutionnel;constitutional
construire;construct
construction;construction
consultant;consultant
consommer;consume
consommateur;consumer
consommation;consumption
contact;contact
contenir;contain
conteneur;container
contemporain;contemporary
contenu;content
concours;contest
contexte;context
continuer;continue
Continué;continued
contrat;contract
contraste;contrast
contribuer;contribute
contribution;contribution
contrôle;control
controversé;controversial
controverse;controversy
convention;convention
conventionnel;conventional
conversation;conversation
convertir;convert
conviction;conviction
convaincre;convince
cuire;cook
biscuit;cookie
cuisine;cooking
refroidir;cool
coopération;cooperation
flic;cop
faire face;cope
copier;copy
noyau;core
ma•s;corn
coin;corner
corporatif;corporate
société;corporation
C'est bien a;correct
correspondant;correspondent
coét;cost
coton;cotton
canapé;couch
purent;could
conseil;council
conseiller;counselor
compter;count
compteur;counter
pays;country
Comté;county
couple;couple
courage;courage
cours;course
cour;court
cousin;cousin
couvrir;cover
couverture;coverage
vache;cow
fissure;crack
métier;craft
krach;crash
fou;crazy
crme;cream
créer;create
création;creation
créatif;creative
créature;creature
crédit;credit
équipage;crew
crime;crime
criminel;criminal
crise;crisis
critres;criteria
critique;critic
critique;critical
critique;criticism
critiquer;criticize
jabot;crop
croix;cross
foule;crowd
crucial;crucial
pleurer;cry
culturel;cultural
culture;culture
coupe;cup
curieux;curious
courant;current
actuellement;currently
cursus;curriculum
coutume;custom
client;customer
couper;cut
cycle;cycle
papa;dad
quotidien;daily
endommager;damage
danser;dance
danger;danger
dangereux;dangerous
Donner;dare
sombre;dark
obscurité;darkness
données;data
date;date
Fille;daughter
jour;day
mort;dead
affaire;deal
négociant;dealer
cher;dear
mort;death
débat;debate
dette;debt
décennie;decade
décider;decide
décision;decision
pont;deck
déclarer;declare
décliner;decline
diminuer;decrease
profond;deep
profondément;deeply
cerf;deer
vaincre;defeat
défendre;defend
accusé;defendant
défense;defense
défensif;defensive
déficit;deficit
définir;define
sans faute;definitely
définition;definition
degré;degree
retarder;delay
livrer;deliver
livraison;delivery
demande;demand
démocratie;democracy
Démocrate;Democrat
démocratique;democratic
démontrer;demonstrate
manifestation;demonstration
nier;deny
département;department
dépendre;depend
dépendant;dependent
Selon;depending
décrire;depict
dépression;depression
profondeur;depth
député;deputy
dériver;derive
décrire;describe
description;description
désert;desert
mériter;deserve
concevoir;design
concepteur;designer
désirer;desire
bureau;desk
désespéré;desperate
malgré;despite
détruire;destroy
destruction;destruction
détail;detail
détaillé;detailed
détecter;detect
déterminer;determine
développer;develop
développement;developing
développement;development
appareil;device
consacrer;devote
dialogue;dialogue
le;die
dite;diet
différer;differ
différence;difference
différent;different
différemment;differently
difficile;difficult
difficulté;difficulty
vous;dig
numérique;digital
dimension;dimension
Restauration;dining
dîner;dinner
direct;direct
direction;direction
directement;directly
directeur;director
saleté;dirt
sale;dirty
infirmité;disability
tre en désaccord;disagree
disparaître;disappear
désastre;disaster
discipline;discipline
discours;discourse
découvrir;discover
découverte;discovery
discrimination;discrimination
discuter;discuss
discussion;discussion
maladie;disease
plat;dish
congédier;dismiss
désordre;disorder
montrer;display
dispute;dispute
distance;distance
lointain;distant
distinct;distinct
distinction;distinction
distinguer;distinguish
distribuer;distribute
distribution;distribution
district;district
Différent;diverse
diversité;diversity
diviser;divide
division;division
divorce;divorce
ADN;DNA
de la;do
médecin;doctor
document;document
chien;dog
domestique;domestic
dominant;dominant
dominer;dominate
par;door
double;double
doute;doubt
en bas;down
centre-ville;downtown
douzaine;dozen
brouillon;draft
traîner;drag
drame;drama
dramatique;dramatic
dramatiquement;dramatically
dessiner;draw
dessin;drawing
rve;dream
robe;dress
boire;drink
conduire;drive
chauffeur;driver
goutte;drop
drogue;drug
sec;dry
Deux;due
pendant;during
poussire;dust
devoir;duty
chaque;each
avide;eager
oreille;ear
tôt;early
gagner;earn
gain;earnings
terre;earth
facilité;ease
facilement;easily
Est;east
oriental;eastern
facile;easy
manger;eat
économique;economic
économie;economics
économiste;economist
économie;economy
bord;edge
édition;edition
éditeur;editor
éduquer;educate
éducation;education
éducatif;educational
éducateur;educator
effet;effect
efficace;effective
efficacement;effectively
efficacité;efficiency
efficace;efficient
effort;effort
oeuf;egg
Huit;eight
ou;either
âgé;elderly
élire;elect
élection;election
électrique;electric
électricité;electricity
électronique;electronic
élément;element
élémentaire;elementary
éliminer;eliminate
élite;elite
autre;else
ailleurs;elsewhere
Messagerie électronique;e-mail
embrasser;embrace
émerger;emerge
Urgence;emergency
émission;emission
émotion;emotion
émotionnel;emotional
emphase;emphasis
souligner;emphasize
employer;employ
employé;employee
employeur;employer
emploi;employment
vide;empty
Activer;enable
rencontrer;encounter
encourager;encourage
fin;end
ennemi;enemy
énergie;energy
application;enforcement
engager;engage
moteur;engine
ingénieur;engineer
ingénierie;engineering
Anglais;English
améliorer;enhance
jouir;enjoy
énorme;enormous
assez;enough
assurer;ensure
entrer;enter
entreprise;enterprise
divertissement;entertainment
entier;entire
compltement;entirely
entrée;entrance
entrée;entry
environnement;environment
environnemental;environmental
épisode;episode
égal;equal
également;equally
équipement;equipment
re;era
erreur;error
échapper;escape
surtout;especially
essai;essay
essentiel;essential
essentiellement;essentially
établir;establish
établissement;establishment
propriété;estate
estimer;estimate
etc;etc
éthique;ethics
ethnique;ethnic
Européen;European
évaluer;evaluate
évaluation;evaluation
#CONNECT!;even
Soir;evening
événement;event
finalement;eventually
jamais;ever
chaque;every
tout le monde;everybody
quotidien;everyday
tout le monde;everyone
tout;everything
partout;everywhere
preuve;evidence
évolution;evolution
évoluer;evolve
exact;exact
exactement;exactly
examen;examination
examiner;examine
exemple;example
dépasser;exceed
Excellente;excellent
sauf;except
exception;exception
échanger;exchange
excitant;exciting
exécutif;executive
exercice;exercise
exhiber;exhibit
exposition;exhibition
exister;exist
existence;existence
existant;existing
élargir;expand
expansion;expansion
attendre;expect
attente;expectation
dépense;expense
cher;expensive
expérience;experience
expérience;experiment
expert;expert
expliquer;explain
explication;explanation
exploser;explode
explorer;explore
explosion;explosion
exposer;expose
Exposition;exposure
exprimer;express
expression;expression
étendre;extend
extension;extension
étendu;extensive
étendue;extent
externe;external
supplémentaire;extra
extraordinaire;extraordinary
extrême;extreme
extrêmement;extremely
oeil;eye
tissu;fabric
visage;face
installation;facility
fait;fact
facteur;factor
usine;factory
faculté;faculty
se faner;fade
échouer;fail
échec;failure
juste;fair
assez;fairly
foi;faith
tomber;fall
FAUX;false
familier;familiar
Famille;family
célbre;famous
éventail;fan
fantaisie;fantasy
loin;far
ferme;farm
cultivateur;farmer
mode;fashion
presque;fast
graisse;fat
destin;fate
Pre;father
faute;fault
faveur;favor
favori;favorite
peur;fear
caractéristique;feature
fédéral;federal
honoraires;fee
nourrir;feed
sentir;feel
sentiment;feeling
type;fellow
femelle;female
clôture;fence
peu;few
moins;fewer
fibre;fiber
fiction;fiction
champ;field
Quinze;fifteen
cinquime;fifth
Cinquante;fifty
se battre;fight
combattant;fighter
combat;fighting
figure;figure
lime;file
remplir;fill
film;film
final;final
finalement;finally
finance;finance
financier;financial
trouver;find
trouvaille;finding
fin;fine
doigt;finger
Finir;finish
Feu;fire
ferme;firm
premier;first
poisson;fish
pche;fishing
convenir;fit
aptitude;fitness
Cinq;five
réparer;fix
drapeau;flag
flamme;flame
plat;flat
saveur;flavor
fuir;flee
chair;flesh
vol;flight
flotter;float
sol;floor
couler;flow
fleur;flower
mouche;fly
foyer;focus
peuple;folk
suivre;follow
suivant;following
nourriture;food
pied;foot
football;football
pour;for
force;force
étranger;foreign
fort;forest
pour toujours;forever
oublier;forget
forme;form
formel;formal
formation;formation
ancien;former
formule;formula
Suite;forth
fortune;fortune
en avant;forward
fonder;found
fondation;foundation
fondateur;founder
Quatre;four
quatrime;fourth
cadre;frame
cadre;framework
libre;free
liberté;freedom
geler;freeze
Franais;French
fréquence;frequency
fréquent;frequent
fréquemment;frequently
frais;fresh
Ami;friend
amical;friendly
amitié;friendship
De;from
devant;front
fruit;fruit
frustration;frustration
combustible;fuel
plein;full
compltement;fully
amusement;fun
fonction;function
fonds;fund
fondamental;fundamental
financement;funding
funérailles;funeral
drôle;funny
mobilier;furniture
en outre;furthermore
futur;future
gagner;gain
galaxie;galaxy
galerie;gallery
jeu;game
bande;gang
brche;gap
garage;garage
jardin;garden
ail;garlic
gaz;gas
porte;gate
rassembler;gather
gay;gay
regard;gaze
engrenage;gear
genre;gender
gne;gene
Généralités;general
généralement;generally
générer;generate
génération;generation
génétique;genetic
monsieur;gentleman
doucement;gently
Allemand;German
geste;gesture
Avoir;get
fantôme;ghost
géant;giant
cadeau;gift
doué;gifted
fille;girl
copine;girlfriend
donner;give
donné;given
heureux;glad
regard;glance
verre;glass
global;global
gant;glove
aller;go
but;goal
Dieu;God
or;gold
doré;golden
golf;golf
bon;good
gouvernement;government
gouverneur;governor
saisir;grab
grade;grade
graduellement;gradually
diplômé;graduate
grain;grain
grand;grand
Grand-pre;grandfather
Grand-mre;grandmother
subvention;grant
herbe;grass
tombe;grave
gris;gray
génial;great
maximum;greatest
vert;green
épicerie;grocery
terre;ground
groupe;group
grandir;grow
grandissant;growing
croissance;growth
garantie;guarantee
garde;guard
deviner;guess
Invités;guest
guide;guide
directive;guideline
coupable;guilty
fusil;gun
mec;guy
habitude;habit
habitat;habitat
cheveux;hair
moitié;half
salle;hall
main;hand
poignée;handful
manche;handle
pendre;hang
arriver;happen
content;happy
dur;hard
à peine;hardly
a;hat
ha•r;hate
avoir;have
il;he
tte;head
titre;headline
quartier général;headquarters
Santé;health
sain;healthy
entendre;hear
audition;hearing
cÏur;heart
chaleur;heat
ciel;heaven
lourdement;heavily
lourd;heavy
entier;heel
hauteur;height
hélicoptre;helicopter
enfer;hell
Bonjour;hello
Aide;help
utile;helpful
son;her
ici;here
héritage;heritage
héros;hero
elle-mme;herself
hé;hey
Salut;hi
cacher;hide
haut;high
souligner;highlight
hautement;highly
autoroute;highway
colline;hill
lui;him
lui-mme;himself
hanche;hip
louer;hire
son;his
historien;historian
historique;historic
historique;historical
histoire;history
frapper;hit
tenir;hold
trou;hole
vacances;holiday
saint;holy
domicile;home
sans-abri;homeless
honnte;honest
miel;honey
honorer;honor
espoir;hope
horizon;horizon
horreur;horror
cheval;horse
hôpital;hospital
hôte;host
chaud;hot
hôtel;hotel
heure;hour
maison;house
ménage;household
logement;housing
comment;how
toutefois;however
énorme;huge
humain;human
humour;humor
Cent;hundred
affamé;hungry
chasseur;hunter
chasse;hunting
faire mal;hurt
Mari;husband
hypothse;hypothesis
Je;I
glace;ice
idée;idea
idéal;ideal
identification;identification
identifier;identify
identité;identity
Ie;ie
si;if
ignorer;ignore
malade;ill
illégal;illegal
Maladie;illness
illustrer;illustrate
image;image
imagination;imagination
imaginer;imagine
immédiat;immediate
immédiatement;immediately
immigrant;immigrant
immigration;immigration
impact;impact
instrument;implement
implication;implication
Insinuer;imply
importance;importance
important;important
impose;impose
impossible;impossible
impressionner;impress
impression;impression
impressionnant;impressive
améliorer;improve
amélioration;improvement
dans;in
incitation;incentive
incident;incident
inclure;include
y compris;including
revenu;income
incorporer;incorporate
augmenter;increase
augmenté;increased
croissant;increasing
de plus en plus;increasingly
incroyable;incredible
vraiment;indeed
indépendance;independence
indépendant;independent
index;index
Indien;Indian
indiquer;indicate
indication;indication
individu;individual
industriel;industrial
industrie;industry
enfant;infant
Infection;infection
inflation;inflation
influence;influence
informer;inform
information;information
ingrédient;ingredient
initial;initial
initialement;initially
initiative;initiative
Blessure;injury
intérieur;inner
innocent;innocent
enqute;inquiry
dedans;inside
perspicacité;insight
insister;insist
inspirer;inspire
installer;install
instance;instance
au lieu de;instead
institution;institution
institutionnel;institutional
instruction;instruction
instructeur;instructor
instrument;instrument
assurance;insurance
intellectuel;intellectual
intelligence;intelligence
avoir l'intention de;intend
intense;intense
intensité;intensity
intention;intention
interaction;interaction
intért;interest
intéressé;interested
intéressant;interesting
interne;internal
international;international
Internet;Internet
interpréter;interpret
interprétation;interpretation
intervention;intervention
interview;interview
dans;into
introduire;introduce
Introduction;introduction
invasion;invasion
investir;invest
enquter;investigate
enqute;investigation
enquteur;investigator
investissement;investment
investisseur;investor
inviter;invite
impliquer;involve
impliqué;involved
implication;involvement
Irakien;Iraqi
Irlandais;Irish
fer;iron
Islamique;Islamic
île;island
Israélien;Israeli
émettre;issue
il;it
Italien;Italian
article;item
son;its
lui-mme;itself
veste;jacket
prison;jail
Japonais;Japanese
jet;jet
Juif;Jew
Juif;Jewish
travail;job
unir;join
articulation;joint
plaisanterie;joke
journal;journal
journaliste;journalist
voyage;journey
joie;joy
juge;judge
jugement;judgment
jus;juice
sauter;jump
junior;junior
jury;jury
juste;just
justice;justice
justifier;justify
garder;keep
clé;key
coup de pied;kick
chevreau;kid
tuer;kill
tueur;killer
tuerie;killing
gentil;kind
roi;king
baiser;kiss
cuisine;kitchen
genou;knee
couteau;knife
frapper;knock
savoir;know
connaissance;knowledge
laboratoire;lab
étiquette;label
travail;labor
laboratoire;laboratory
manque;lack
dame;lady
lac;lake
terre;land
paysage;landscape
Langue;language
giron;lap
grand;large
largement;largely
dernier;last
tard;late
plus tard;later
Latin;Latin
dernier;latter
rire;laugh
lancer;launch
loi;law
pelouse;lawn
procs;lawsuit
avocat;lawyer
pondre;lay
couche;layer
plomb;lead
chef;leader
leadership;leadership
directeur;leading
feuille;leaf
ligue;league
maigre;lean
apprendre;learn
apprentissage;learning
moins;least
cuir;leather
partir;leave
Gauche;left
jambe;leg
héritage;legacy
légal;legal
légende;legend
législation;legislation
légitime;legitimate
citron;lemon
longueur;length
moins;less
leon;lesson
laisser;let
lettre;letter
niveau;level
libéral;liberal
bibliothque;library
licence;license
mensonge;lie
vie;life
mode de vie;lifestyle
vie;lifetime
lever;lift
lumire;light
comme;like
probable;likely
limite;limit
limitation;limitation
limité;limited
ligne;line
lien;link
lvre;lip
liste;list
écouter;listen
littéralement;literally
littéraire;literary
littérature;literature
peu;little
vivre;live
vivant;living
charger;load
prt;loan
local;local
localiser;locate
emplacement;location
serrure;lock
long;long
à long terme;long-term
regarder;look
lâche;loose
perdre;lose
perte;loss
perdu;lost
lot;lot
Beaucoup;lots
fort;loud
amour;love
charmant;lovely
amant;lover
bas;low
baisser;lower
chance;luck
chanceux;lucky
déjeuner;lunch
poumon;lung
machine;machine
fou;mad
revue;magazine
courrier;mail
principal;main
principalement;mainly
maintenir;maintain
entretien;maintenance
majeur;major
majorité;majority
faire;make
fabricant;maker
maquillage;makeup
mâle;male
centre commercial;mall
homme;man
gérer;manage
gestion;management
gérant;manager
manire;manner
fabricant;manufacturer
fabrication;manufacturing
beaucoup;many
carte;map
marge;margin
marque;mark
marché;market
marketing;marketing
mariage;marriage
marié;married
épouser;marry
masque;mask
masse;mass
massif;massive
maître;master
allumette;match
matériel;material
mathématiques;math
affaire;matter
Mai;may
peut-tre;maybe
aîné;mayor
me;me
repas;meal
méchant;mean
signification;meaning
entre-temps;meanwhile
mesurer;measure
mesure;measurement
viande;meat
mécanisme;mechanism
média;media
médical;medical
médicament;medication
médicament;medicine
Douleur moyenne;medium
rencontrer;meet
réunion;meeting
membre;member
adhésion;membership
mémoire;memory
mental;mental
mentionner;mention
menu;menu
plus;mere
simplement;merely
désordre;mess
Message;message
métal;metal
mtre;meter
méthode;method
Mexicain;Mexican
milieu;middle
puissance;might
militaire;military
lait;milk
million;million
esprit;mind
mine;mine
ministre;minister
mineur;minor
minorité;minority
minute;minute
miracle;miracle
miroir;mirror
rater;miss
missile;missile
mission;mission
erreur;mistake
mélanger;mix
mélange;mixture
mm-hmm;mm-hmm
mode;mode
modle;model
modéré;moderate
moderne;modern
modeste;modest
maman;mom
moment;moment
argent;money
moniteur;monitor
mois;month
humeur;mood
lune;moon
moral;moral
plus;more
en outre;moreover
Matin;morning
hypothque;mortgage
le plus;most
surtout;mostly
Mre;mother
mouvement;motion
motivation;motivation
moteur;motor
monter;mount
montagne;mountain
souris;mouse
bouche;mouth
bouger;move
mouvement;movement
film;movie
Monsieur;Mr
Madame;Mrs
Ms;Ms
beaucoup;much
multiple;multiple
meurtre;murder
muscle;muscle
musée;museum
musique;music
musical;musical
musicien;musician
Musulman;Muslim
devoir;must
mutuel;mutual
mon;my
moi-mme;myself
mystre;mystery
mythe;myth
nu;naked
nom;name
narratif;narrative
étroit;narrow
nation;nation
national;national
indigne;native
naturel;natural
naturellement;naturally
nature;nature
prs;near
proche;nearby
presque;nearly
nécessairement;necessarily
nécessaire;necessary
cou;neck
besoin;need
Négatif;negative
négocier;negotiate
négociation;negotiation
voisin;neighbor
quartier;neighborhood
ni;neither
nerf;nerve
nerveux;nervous
filet;net
réseau;network
jamais;never
néanmoins;nevertheless
Nouveau;new
nouvellement;newly
nouvelles;news
journal;newspaper
prochain;next
gentil;nice
Nuit;night
Neuf;nine
Non;no
personne;nobody
hocher;nod
bruit;noise
nomination;nomination
aucun;none
néanmoins;nonetheless
ni;nor
normal;normal
normalement;normally
Nord;north
septentrional;northern
nez;nose
non;not
note;note
rien;nothing
remarquer;notice
notion;notion
roman;novel
Maintenant;now
nulle part;nowhere
n't;n't
nucléaire;nuclear
nombre;number
nombreux;numerous
infirmier;nurse
écrou;nut
objet;object
objectif;objective
obligation;obligation
observation;observation
observer;observe
observateur;observer
obtenir;obtain
évident;obvious
évidemment;obviously
occasion;occasion
parfois;occasionally
occupation;occupation
occuper;occupy
arriver;occur
océan;ocean
étrange;odd
chances;odds
de;of
de;off
insulte;offense
offensive;offensive
offrir;offer
bureau;office
officier;officer
fonctionnaire;official
souvent;often
oh;oh
huile;oil
d'accord;ok
d'accord;okay
vieux;old
Olympique;Olympic
sur;on
une fois;once
Un;one
actuel;ongoing
oignon;onion
en ligne;online
seulement;only
sur;onto
ouvrir;open
ouverture;opening
opérer;operate
opérationnel;operating
opération;operation
opérateur;operator
opinion;opinion
adversaire;opponent
occasion;opportunity
opposer;oppose
opposé;opposite
opposition;opposition
option;option
ou;or
orange;orange
commande;order
ordinaire;ordinary
organique;organic
organisation;organization
organiser;organize
orientation;orientation
origine;origin
Langue source;original
originairement;originally
autre;other
autrui;others
autrement;otherwise
Devrait;ought
notre;our
nous-mmes;ourselves
dehors;out
résultat;outcome
dehors;outside
four;oven
sur;over
total;overall
vaincre;overcome
négliger;overlook
devoir;owe
posséder;own
propriétaire;owner
pas;pace
emballer;pack
colis;package
page;page
Douleur;pain
douloureux;painful
peinture;paint
peintre;painter
peinture;painting
paire;pair
pâle;pale
Palestinien;Palestinian
paume;palm
monsieur;pan
panneau;panel
haleter;pant
papier;paper
parent;parent
parc;park
parking;parking
partie;part
participant;participant
participer;participate
participation;participation
particulier;particular
particulirement;particularly
partiellement;partly
partenaire;partner
association;partnership
parti;party
passer;pass
passage;passage
passager;passenger
passion;passion
passé;past
rapiécer;patch
chemin;path
patient;patient
modle;pattern
pause;pause
payer;pay
paiement;payment
PC;PC
paix;peace
sommet;peak
pair;peer
pénalité;penalty
gens;people
poivre;pepper
pour;per
percevoir;perceive
pourcentage;percentage
perception;perception
Parfait;perfect
parfaitement;perfectly
exécuter;perform
performance;performance
peut-tre;perhaps
période;period
permanent;permanent
autorisation;permission
permettre;permit
personne;person
personnel;personal
personnalité;personality
personnellement;personally
personnel;personnel
perspective;perspective
persuader;persuade
animal domestique;pet
phase;phase
phénomne;phenomenon
philosophie;philosophy
Téléphone;phone
photo;photo
photographier;photograph
photographe;photographer
phrase;phrase
physique;physical
physiquement;physically
médecin;physician
plan;piano
cueillir;pick
image;picture
pied;pie
morceau;piece
tas;pile
pilote;pilot
pin;pine
rose;pink
pipe;pipe
tanguer;pitch
